,id
0,14551.0
1,1205757.0
2,1212820.0
3,751638.0
4,41342.0
5,751997.0
6,752035.0
7,1215790.0
8,45400.0
9,1222762.0
10,753604.0
11,48764.0
12,755927.0
13,756145.0
14,1228453.0
15,93343.0
16,1229186.0
17,756179.0
18,101580.0
19,756944.0
20,1234784.0
21,106704.0
22,1234785.0
23,766763.0
24,121666.0
25,771850.0
26,774371.0
27,1235226.0
28,1236131.0
29,121962.0
30,784892.0
31,791845.0
32,122273.0
33,1242933.0
34,122371.0
35,1243138.0
36,794265.0
37,130159.0
38,1247304.0
39,131374.0
40,1250062.0
41,154339.0
42,809104.0
43,809136.0
44,168832.0
45,1251914.0
46,1252013.0
47,179220.0
48,810373.0
49,207996.0
50,1257692.0
51,215226.0
52,1261832.0
53,1262051.0
54,820615.0
55,822805.0
56,254100.0
57,841345.0
58,1264094.0
59,262941.0
60,1266293.0
61,845209.0
62,265647.0
63,854021.0
64,856837.0
65,858015.0
66,1269893.0
67,273037.0
68,1271816.0
69,1272402.0
70,876041.0
71,280968.0
72,1274583.0
73,1275755.0
74,285968.0
75,1277342.0
76,879742.0
77,891187.0
78,891269.0
79,296563.0
80,304363.0
81,899668.0
82,1279567.0
83,1302211.0
84,323402.0
85,1302826.0
86,903777.0
87,336151.0
88,912211.0
89,349360.0
90,913541.0
91,1302878.0
92,1305002.0
93,1307043.0
94,359056.0
95,927257.0
96,378198.0
97,929857.0
98,1323857.0
99,398377.0
100,1326454.0
101,930193.0
102,398498.0
103,934350.0
104,1328464.0
105,406360.0
106,1329275.0
107,934823.0
108,939378.0
109,406377.0
110,941444.0
111,1329359.0
112,406398.0
113,1330145.0
114,941619.0
115,419252.0
116,941682.0
117,1334079.0
118,1337942.0
119,424026.0
120,1338690.0
121,1339697.0
122,943486.0
123,438243.0
124,952327.0
125,1351849.0
126,438245.0
127,1355202.0
128,1358469.0
129,952410.0
130,443464.0
131,955814.0
132,961025.0
133,1359410.0
134,1362315.0
135,445057.0
136,1364510.0
137,1376640.0
138,1383009.0
139,965090.0
140,457966.0
141,965317.0
142,1383249.0
143,459611.0
144,1390079.0
145,965621.0
146,966925.0
147,474284.0
148,1391360.0
149,478912.0
150,1414868.0
151,967804.0
152,479972.0
153,984995.0
154,1422502.0
155,1432288.0
156,484066.0
157,1435644.0
158,991581.0
159,506095.0
160,999692.0
161,1436495.0
162,1436811.0
163,509124.0
164,1452110.0
165,1000382.0
166,516474.0
167,1013751.0
168,1454350.0
169,520236.0
170,1475818.0
171,1015826.0
172,520607.0
173,1016847.0
174,1022983.0
175,1476173.0
176,1481890.0
177,520743.0
178,1043918.0
179,527021.0
180,1044402.0
181,1046628.0
182,1485020.0
183,1490260.0
184,528521.0
185,1054770.0
186,528549.0
187,1055412.0
188,1492349.0
189,533779.0
190,1492642.0
191,1492778.0
192,1070589.0
193,537046.0
194,1071215.0
195,1495714.0
196,538802.0
197,1496386.0
198,1508116.0
199,1071662.0
200,1073653.0
201,1076045.0
202,539975.0
203,1083114.0
204,1088214.0
205,1088803.0
206,1092414.0
207,1509705.0
208,1511355.0
209,541344.0
210,1513081.0
211,1098747.0
212,549163.0
213,1111275.0
214,1527943.0
215,553009.0
216,1538300.0
217,1112277.0
218,1116270.0
219,557015.0
220,1120751.0
221,1122713.0
222,1541336.0
223,558914.0
224,1558115.0
225,1126765.0
226,569528.0
227,1140003.0
228,1140363.0
229,1558982.0
230,580159.0
231,1563251.0
232,1574182.0
233,582785.0
234,1587639.0
235,1601911.0
236,1143351.0
237,1143427.0
238,597347.0
239,1145799.0
240,615412.0
241,621271.0
242,1151260.0
243,1618318.0
244,628874.0
245,1623206.0
246,1155289.0
247,630599.0
248,1155461.0
249,1639732.0
250,1642764.0
251,643415.0
252,1160633.0
253,644988.0
254,652289.0
255,1162520.0
256,1660109.0
257,653204.0
258,1667785.0
259,1670282.0
260,1671778.0
261,1170806.0
262,1171002.0
263,1171096.0
264,1177210.0
265,1197111.0
266,1683266.0
267,662554.0
268,1701240.0
269,1705940.0
270,1712030.0
271,1733961.0
272,1756555.0
273,1780705.0
274,1787135.0
275,1790589.0
276,1796585.0
277,1799164.0
278,1205619.0
279,2536695.0
280,2537167.0
281,2571101.0
282,2583536.0
283,2583734.0
284,664499.0
285,669086.0
286,669661.0
287,671241.0
288,1799258.0
289,671251.0
290,2589009.0
291,672069.0
292,2591847.0
293,1799827.0
294,679690.0
295,1804322.0
296,1809413.0
297,2592149.0
298,684386.0
299,695685.0
300,2598990.0
301,1812767.0
302,1821582.0
303,1864451.0
304,704991.0
305,1890879.0
306,1891903.0
307,2620464.0
308,2625932.0
309,706549.0
310,1904082.0
311,714603.0
312,1974552.0
313,2626545.0
314,716080.0
315,2639402.0
316,2001649.0
317,721891.0
318,2001795.0
319,2641525.0
320,723935.0
321,2644781.0
322,2016382.0
323,736891.0
324,2020067.0
325,2655860.0
326,739436.0
327,2661094.0
328,745384.0
329,2673625.0
330,2678023.0
331,2023792.0
332,2035366.0
333,3024626.0
334,2036724.0
335,2686531.0
336,3029029.0
337,2689620.0
338,2039849.0
339,3033317.0
340,2065666.0
341,2693498.0
342,3035990.0
343,2698050.0
344,3038659.0
345,2706984.0
346,2070639.0
347,2071538.0
348,2709144.0
349,3041160.0
350,2711178.0
351,2078607.0
352,3047401.0
353,2713720.0
354,3051536.0
355,2101333.0
356,3054347.0
357,2113217.0
358,2113805.0
359,2113845.0
360,2125443.0
361,2129205.0
362,2715647.0
363,2720899.0
364,3055856.0
365,2722076.0
366,3070054.0
367,2136731.0
368,3070568.0
369,2137161.0
370,2732154.0
371,3073191.0
372,2738400.0
373,2137212.0
374,2143168.0
375,2167228.0
376,3073348.0
377,2173234.0
378,2744580.0
379,3083018.0
380,2747064.0
381,2175448.0
382,3085914.0
383,2188414.0
384,2196426.0
385,3087616.0
386,2197231.0
387,2750909.0
388,2757783.0
389,2765891.0
390,3088033.0
391,2766786.0
392,2200732.0
393,2205258.0
394,2211845.0
395,2214664.0
396,2225999.0
397,2769507.0
398,3089017.0
399,2770369.0
400,2770848.0
401,2246279.0
402,3093654.0
403,2255126.0
404,3102032.0
405,2261105.0
406,2772578.0
407,3102399.0
408,2777417.0
409,2264374.0
410,2269991.0
411,3103565.0
412,2270291.0
413,2781356.0
414,3112689.0
415,2781517.0
416,2784566.0
417,2282484.0
418,2283070.0
419,3124534.0
420,2304416.0
421,2309317.0
422,3124590.0
423,2328455.0
424,2329446.0
425,2330729.0
426,2348284.0
427,2351345.0
428,2790757.0
429,2793254.0
430,2793340.0
431,2797538.0
432,2353031.0
433,3124611.0
434,2799726.0
435,2800357.0
436,3124618.0
437,2801680.0
438,2388334.0
439,3126986.0
440,2395078.0
441,2808396.0
442,2819512.0
443,2819800.0
444,3137575.0
445,2820119.0
446,2820184.0
447,2408973.0
448,2412475.0
449,3141485.0
450,2418241.0
451,2828101.0
452,2828891.0
453,2425429.0
454,3142301.0
455,2829193.0
456,3142311.0
457,2830655.0
458,3152532.0
459,2840283.0
460,2444751.0
461,2445546.0
462,2448550.0
463,3153346.0
464,2453698.0
465,2840561.0
466,3153819.0
467,2459869.0
468,3156437.0
469,2467143.0
470,2841770.0
471,2843058.0
472,3156514.0
473,2843849.0
474,2470807.0
475,3170631.0
476,3190047.0
477,2472885.0
478,2475496.0
